ds,y,y_predicted
2015-11-04 00:00:00,13,9
2015-11-04 00:05:00,11,8
2015-11-04 00:10:00,18,8
2015-11-04 00:15:00,16,8
2015-11-04 00:20:00,16,8
2015-11-04 00:25:00,14,7
2015-11-04 00:30:00,13,7
2015-11-04 00:35:00,11,7
2015-11-04 00:40:00,16,7
2015-11-04 00:45:00,9,6
2015-11-04 00:50:00,7,6
2015-11-04 00:55:00,11,6
2015-11-04 01:00:00,5,6
2015-11-04 01:05:00,8,6
2015-11-04 01:10:00,10,5
2015-11-04 01:15:00,14,5
2015-11-04 01:20:00,10,5
2015-11-04 01:25:00,8,5
2015-11-04 01:30:00,12,4
2015-11-04 01:35:00,6,4
2015-11-04 01:40:00,9,4
2015-11-04 01:45:00,9,4
2015-11-04 01:50:00,7,3
2015-11-04 01:55:00,9,3
2015-11-04 02:00:00,5,3
2015-11-04 02:05:00,7,2
2015-11-04 02:10:00,1,2
2015-11-04 02:15:00,4,2
2015-11-04 02:20:00,11,1
2015-11-04 02:25:00,10,1
2015-11-04 02:30:00,5,1
2015-11-04 02:35:00,11,0
2015-11-04 02:40:00,7,0
2015-11-04 02:45:00,4,0
2015-11-04 02:50:00,5,0
2015-11-04 02:55:00,3,0
2015-11-04 03:00:00,1,-1
2015-11-04 03:05:00,3,-1
2015-11-04 03:10:00,2,-1
2015-11-04 03:15:00,10,-1
2015-11-04 03:20:00,11,-2
2015-11-04 03:25:00,1,-2
2015-11-04 03:30:00,3,-2
2015-11-04 03:35:00,3,-2
2015-11-04 03:40:00,6,-2
2015-11-04 03:45:00,4,-2
2015-11-04 03:50:00,10,-2
2015-11-04 03:55:00,8,-2
2015-11-04 04:00:00,4,-2
2015-11-04 04:05:00,5,-2
2015-11-04 04:10:00,8,-2
2015-11-04 04:15:00,2,-2
2015-11-04 04:20:00,6,-1
2015-11-04 04:25:00,4,-1
2015-11-04 04:30:00,6,-1
2015-11-04 04:35:00,5,0
2015-11-04 04:40:00,17,0
2015-11-04 04:45:00,15,0
2015-11-04 04:50:00,22,1
2015-11-04 04:55:00,18,2
2015-11-04 05:00:00,12,2
2015-11-04 05:05:00,21,3
2015-11-04 05:10:00,13,4
2015-11-04 05:15:00,14,5
2015-11-04 05:20:00,11,6
2015-11-04 05:25:00,11,8
2015-11-04 05:30:00,20,9
2015-11-04 05:35:00,11,10
2015-11-04 05:40:00,8,11
2015-11-04 05:45:00,12,13
2015-11-04 05:50:00,18,14
2015-11-04 05:55:00,19,16
2015-11-04 06:00:00,26,17
2015-11-04 06:05:00,24,19
2015-11-04 06:10:00,30,20
2015-11-04 06:15:00,29,22
2015-11-04 06:20:00,32,23
2015-11-04 06:25:00,39,25
2015-11-04 06:30:00,26,27
2015-11-04 06:35:00,34,28
2015-11-04 06:40:00,35,30
2015-11-04 06:45:00,35,31
2015-11-04 06:50:00,43,33
2015-11-04 06:55:00,53,35
2015-11-04 07:00:00,40,36
2015-11-04 07:05:00,44,38
2015-11-04 07:10:00,61,39
2015-11-04 07:15:00,67,41
2015-11-04 07:20:00,51,42
2015-11-04 07:25:00,74,43
2015-11-04 07:30:00,64,45
2015-11-04 07:35:00,58,46
2015-11-04 07:40:00,92,47
2015-11-04 07:45:00,74,48
2015-11-04 07:50:00,64,49
2015-11-04 07:55:00,62,50
2015-11-04 08:00:00,74,51
2015-11-04 08:05:00,84,52
2015-11-04 08:10:00,50,52
2015-11-04 08:15:00,64,53
2015-11-04 08:20:00,66,54
2015-11-04 08:25:00,62,54
2015-11-04 08:30:00,64,54
2015-11-04 08:35:00,51,55
2015-11-04 08:40:00,60,55
2015-11-04 08:45:00,58,55
2015-11-04 08:50:00,46,55
2015-11-04 08:55:00,44,55
2015-11-04 09:00:00,41,55
2015-11-04 09:05:00,57,55
2015-11-04 09:10:00,58,55
2015-11-04 09:15:00,69,55
2015-11-04 09:20:00,68,54
2015-11-04 09:25:00,44,54
2015-11-04 09:30:00,54,54
2015-11-04 09:35:00,58,53
2015-11-04 09:40:00,52,53
2015-11-04 09:45:00,52,52
2015-11-04 09:50:00,47,52
2015-11-04 09:55:00,41,51
2015-11-04 10:00:00,54,50
2015-11-04 10:05:00,56,50
2015-11-04 10:10:00,52,49
2015-11-04 10:15:00,41,48
2015-11-04 10:20:00,61,48
2015-11-04 10:25:00,54,47
2015-11-04 10:30:00,40,46
2015-11-04 10:35:00,44,46
2015-11-04 10:40:00,42,45
2015-11-04 10:45:00,55,44
2015-11-04 10:50:00,39,44
2015-11-04 10:55:00,47,43
2015-11-04 11:00:00,39,42
2015-11-04 11:05:00,52,42
2015-11-04 11:10:00,38,41
2015-11-04 11:15:00,51,41
2015-11-04 11:20:00,51,40
2015-11-04 11:25:00,45,40
2015-11-04 11:30:00,39,39
2015-11-04 11:35:00,46,39
2015-11-04 11:40:00,35,39
2015-11-04 11:45:00,46,39
2015-11-04 11:50:00,43,38
2015-11-04 11:55:00,42,38
2015-11-04 12:00:00,44,38
2015-11-04 12:05:00,33,38
2015-11-04 12:10:00,47,38
2015-11-04 12:15:00,49,38
2015-11-04 12:20:00,29,38
2015-11-04 12:25:00,32,38
2015-11-04 12:30:00,36,38
2015-11-04 12:35:00,43,38
2015-11-04 12:40:00,60,38
2015-11-04 12:45:00,29,38
2015-11-04 12:50:00,45,39
2015-11-04 12:55:00,43,39
2015-11-04 13:00:00,46,39
2015-11-04 13:05:00,41,39
2015-11-04 13:10:00,33,40
2015-11-04 13:15:00,37,40
2015-11-04 13:20:00,66,40
2015-11-04 13:25:00,56,41
2015-11-04 13:30:00,43,41
2015-11-04 13:35:00,54,41
2015-11-04 13:40:00,54,41
2015-11-04 13:45:00,59,42
2015-11-04 13:50:00,47,42
2015-11-04 13:55:00,54,42
2015-11-04 14:00:00,41,43
2015-11-04 14:05:00,49,43
2015-11-04 14:10:00,49,43
2015-11-04 14:15:00,30,43
2015-11-04 14:20:00,39,44
2015-11-04 14:25:00,58,44
2015-11-04 14:30:00,46,44
2015-11-04 14:35:00,47,44
2015-11-04 14:40:00,37,44
2015-11-04 14:45:00,47,44
2015-11-04 14:50:00,33,45
2015-11-04 14:55:00,37,45
2015-11-04 15:00:00,45,45
2015-11-04 15:05:00,43,45
2015-11-04 15:10:00,45,45
2015-11-04 15:15:00,43,45
2015-11-04 15:20:00,44,45
2015-11-04 15:25:00,46,45
2015-11-04 15:30:00,46,45
2015-11-04 15:35:00,53,44
2015-11-04 15:40:00,56,44
2015-11-04 15:45:00,48,44
2015-11-04 15:50:00,50,44
2015-11-04 15:55:00,51,44
2015-11-04 16:00:00,54,44
2015-11-04 16:05:00,49,44
2015-11-04 16:10:00,42,44
2015-11-04 16:15:00,57,43
2015-11-04 16:20:00,59,43
2015-11-04 16:25:00,54,43
2015-11-04 16:30:00,47,43
2015-11-04 16:35:00,37,43
2015-11-04 16:40:00,53,43
2015-11-04 16:45:00,37,43
2015-11-04 16:50:00,40,43
2015-11-04 16:55:00,43,43
2015-11-04 17:00:00,40,42
2015-11-04 17:05:00,43,42
2015-11-04 17:10:00,52,42
2015-11-04 17:15:00,56,42
2015-11-04 17:20:00,72,42
2015-11-04 17:25:00,71,42
2015-11-04 17:30:00,73,42
2015-11-04 17:35:00,53,42
2015-11-04 17:40:00,83,42
2015-11-04 17:45:00,67,42
2015-11-04 17:50:00,72,42
2015-11-04 17:55:00,58,42
2015-11-04 18:00:00,51,42
2015-11-04 18:05:00,64,42
2015-11-04 18:10:00,83,42
2015-11-04 18:15:00,55,42
2015-11-04 18:20:00,43,42
2015-11-04 18:25:00,56,42
2015-11-04 18:30:00,56,42
2015-11-04 18:35:00,65,42
2015-11-04 18:40:00,65,42
2015-11-04 18:45:00,63,42
2015-11-04 18:50:00,56,42
2015-11-04 18:55:00,70,42
2015-11-04 19:00:00,60,42
2015-11-04 19:05:00,51,42
2015-11-04 19:10:00,76,42
2015-11-04 19:15:00,55,41
2015-11-04 19:20:00,46,41
2015-11-04 19:25:00,55,41
2015-11-04 19:30:00,46,41
2015-11-04 19:35:00,44,41
2015-11-04 19:40:00,51,40
2015-11-04 19:45:00,46,40
2015-11-04 19:50:00,41,40
2015-11-04 19:55:00,51,39
2015-11-04 20:00:00,38,39
2015-11-04 20:05:00,43,38
2015-11-04 20:10:00,54,38
2015-11-04 20:15:00,53,37
2015-11-04 20:20:00,40,37
2015-11-04 20:25:00,48,36
2015-11-04 20:30:00,39,35
2015-11-04 20:35:00,50,35
2015-11-04 20:40:00,34,34
2015-11-04 20:45:00,30,33
2015-11-04 20:50:00,50,32
2015-11-04 20:55:00,38,32
2015-11-04 21:00:00,40,31
2015-11-04 21:05:00,37,30
2015-11-04 21:10:00,30,29
2015-11-04 21:15:00,35,28
2015-11-04 21:20:00,30,27
2015-11-04 21:25:00,31,26
2015-11-04 21:30:00,25,26
2015-11-04 21:35:00,27,25
2015-11-04 21:40:00,21,24
2015-11-04 21:45:00,31,23
2015-11-04 21:50:00,33,22
2015-11-04 21:55:00,31,21
2015-11-04 22:00:00,26,20
2015-11-04 22:05:00,39,19
2015-11-04 22:10:00,28,18
2015-11-04 22:15:00,30,17
